rows,time,data_sent,rounds,global_data
100,.102424,.946128,1522,2.817580
200,.113985,1.888030,1527,5.622500
300,.126318,2.829410,1528,8.425820
400,.156103,3.771820,1534,11.232300
500,.184509,4.714240,1539,14.038700
600,.220543,5.654590,1540,16.839000
700,.310672,6.595980,1546,19.642400
800,.335867,7.539420,1551,22.451900
900,.335316,8.479780,1552,25.252100
1000,.378893,9.421680,1557,28.057000
