rows,time,data_sent,rounds,global_data
100,.421474,1.975460,1550,5.884770
200,.850753,3.945580,1555,11.753600
300,1.194970,5.913660,1560,17.616200
400,1.467162,7.882770,1566,23.481900
500,1.609910,9.855970,1571,29.359900
600,1.858112,11.827100,1576,35.231800
700,2.067040,13.798300,1582,41.103600
800,2.232902,15.766400,1587,46.966300
900,2.415458,17.738500,1592,52.841200
1000,2.708340,19.804900,1597,58.998700
