100, .002840
200, .002660
300, .002820
400, .002820
500, .002980
600, .002980
700, .002880
800, .003040
900, .003280
1000, .003260
1100, .003380
1200, .003520
1300, .003480
1400, .003620
1500, .003920
1600, .004160
1700, .003960
1800, .004620
1900, .004420
2000, .004100
4000, 0.015940
6000, 0.031680
8000, 0.050120
10000, 0.075640
20000, 0.218600
40000, 0.840200
60000, 1.868000
80000, 3.354000
100000, 5.318000
200000, 13.278000
400000, 31.784000
600000, 54.082000
800000, 65.798000
1000000, 82.906000
